Model,OS,Chipset,CPU,GPU,Ram/ROM,Battery
ZTE Blade A3 (2019),Android 9.0 Pie (Go edition),Unisoc SC9832E (28nm),Quad-core 1.4 GHz,Mali-T820 MP1,16GB 1GB RAM,Non-removable Li-Ion 2000 mAh battery
ZTE Blade L8,Android 9.0 Pie (Go edition),Unisoc SC7731E (28nm),Quad-core 1.3 GHz,Mali-T820 MP1,16GB 1GB RAM,Non-removable Li-Ion 2000 mAh battery
Microsoft Lumia 650,Microsoft Windows 10,Qualcomm MSM8909v2 Snapdragon 212 (28 nm),Quad-core 1.3 GHz Cortex-A7,Adreno 304,16GB 1GB RAM,Removable Li-Ion 2000 mAh battery
Microsoft Lumia 950 XL Dual SIM,Microsoft Windows 10,Qualcomm MSM8994 Snapdragon 810 (20 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x2.0 GHz Cortex-A57),Adreno 430,32GB 3GB RAM,Removable Li-Ion 3340 mAh battery
Microsoft Lumia 950 XL,Microsoft Windows 10,Qualcomm MSM8994 Snapdragon 810 (20 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x2.0 GHz Cortex-A57),Adreno 430,32GB 3GB RAM,Removable Li-Ion 3340 mAh battery
Microsoft Lumia 950 Dual SIM,Microsoft Windows 10,Qualcomm MSM8992 Snapdragon 808 (20 nm),Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57),Adreno 418,32GB 3GB RAM,Removable Li-Ion 3000 mAh battery
Microsoft Lumia 950,Microsoft Windows 10,Qualcomm MSM8992 Snapdragon 808 (20 nm),Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57),Adreno 418,32GB 3GB RAM,Removable Li-Ion 3000 mAh battery
Vodafone Smart V10,Android 9.0 (Pie),Qualcomm SDM429 Snapdragon 429,Quad-core 2.0 GHz Cortex-A53,Adreno 504,32GB 3GB RAM,Non-removable Li-Ion 3400 mAh battery
Vodafone Smart N10,Android 9.0 (Pie),Mediatek MT6761V/WA Helio A22 (12 nm),Quad-core 2.0 GHz Cortex-A53,PowerVR GE8320,16GB 2GB RAM,Non-removable Li-Ion 2920 mAh battery
Vodafone Smart E9,Android 8.1 Oreo (Go edition),Mediatek MT6739 (28 nm),Quad-core 1.5 GHz Cortex-A53,PowerVR GE8100,8GB 1GB RAM,Non-removable Li-Ion 2000 mAh battery
Vodafone Smart X9,Android 8.1 (Oreo),Qualcomm SDM450 Snapdragon 450 (14 nm),Octa-core 1.8 GHz Cortex-A53,Adreno 506,32GB 3GB RAM,Non-removable Li-Ion 3100 mAh battery
Vodafone Smart N9,Android 8.1 (Oreo),Mediatek MT6739WA (28 nm),Quad-core 1.3 GHz Cortex-A53,Mali-T720MP2,16GB 2GB RAM,Non-removable Li-Ion 2900 mAh battery
Energizer Power Max P8100S,Android 9.0 (Pie),Qualcomm SDM855 Snapdragon 855 (7 nm),Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,256GB 8GB RAM,"Non-removable Li-Po 10,000 mAh battery"
Energizer Power Max P18K Pop,Android 9.0 (Pie),Mediatek Helio P70 (12nm),Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),Mali-G72 MP3,128GB 6GB RAM,"Non-removable Li-Po 18,000 mAh battery"
Energizer Ultimate U620S Pop,Android 9.0 (Pie),Mediatek Helio P70,Octa-core (4x2.1 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),Mali-G72 MP3,128GB 6GB RAM,Non-removable Li-Ion 3200 mAh battery
Cat B35,KaiOS,Qualcomm MSM8905 Snapdragon 205 (28 nm),Dual-core (2x1.3 GHz Cortex-A7),Adreno 304,4GB 512MB RAM,Non-removable Li-Ion 2300 mAh battery
Cat S41,Android 7.0 (Nougat),Mediatek MT6757 Helio P20 (16 nm),Octa-core (4x2.3 GHz Cortex-A53 & 4x1.6 GHz Cortex-A53),Mali-T880MP2,32GB 3GB RAM,Non-removable Li-Ion 5000 mAh battery
